date,country,suspected_cases,confirmed_cases,deaths,recoveries,case_fatality_rate_pct
2026-06-14,Uganda,NA,NA,NA,NA,0
2026-06-13,DR Congo,NA,NA,NA,NA,0
2026-01-01,DR Congo,NA,64,45,NA,70.31
2025-01-01,DR Congo,NA,64,45,NA,70.31
2025-01-01,Sudan,NA,1,1,NA,100
2025-01-01,Uganda,NA,131,42,NA,32.06
2022-01-01,Uganda,NA,164,55,NA,33.54
2021-01-01,DR Congo,NA,11,9,NA,81.82
2020-01-01,DR Congo,NA,130,55,NA,42.31
2018-01-01,DR Congo,NA,3470,2287,NA,65.91
2017-01-01,DR Congo,NA,8,4,NA,50
2014-01-01,DR Congo,NA,69,49,NA,71.01
2012-01-01,Uganda,NA,6,3,NA,50
2011-01-01,Uganda,NA,1,1,NA,100
2010-01-01,Uganda,NA,6,3,NA,50
2008-01-01,DR Congo,NA,32,15,NA,46.88
2007-01-01,Uganda,NA,131,42,NA,32.06
2005-01-01,DR Congo,NA,12,10,NA,83.33
2004-01-01,Sudan,NA,1,1,NA,100
2003-01-01,DR Congo,NA,35,29,NA,82.86
2001-01-01,DR Congo,NA,59,44,NA,74.58
2000-01-01,Uganda,NA,425,224,NA,52.71
1996-01-01,South Africa,NA,1,1,NA,100
1995-01-01,DR Congo,NA,69,49,NA,71.01
1995-01-01,Gabon,NA,1,0,NA,0
1994-01-01,Gabon,NA,1,0,NA,0
1994-01-01,South Africa,NA,1,1,NA,100
1979-01-01,Sudan,NA,34,22,NA,64.71
1977-01-01,DR Congo,NA,1,1,NA,100
1976-01-01,DR Congo,NA,64,45,NA,70.31
1976-01-01,Sudan,NA,64,45,NA,70.31
